0, 0, Header, 1, 8, 240
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 521739
1, 0, Marker_t, "Concerto in Am, for Violin and"
1, 0, Marker_t, "     Orchestra - harpsichord reduction by"
1, 0, Marker_t, " Giuseppe Piccioli"
1, 0, Marker_t, "Antonio Vivaldi, Opus 3, No. 6"
1, 0, Marker_t, "This movement entered originally in 1991"
1, 0, Marker_t, "on an Adlib board using Visual Composer"
1, 0, Marker_t, "Allegro"
1, 78720, Key_signature, -1, "major"
1, 78720, Tempo, 1304348
1, 78720, Marker_t, "Largo"
1, 78720, Marker_t, "This movment entered using score"
1, 78720, Marker_t, "view in Wincake 3.0"
1, 78720, Marker_t, ""
1, 92531, Tempo, 300000
1, 94080, Time_signature, 2, 2, 24, 8
1, 94080, Key_signature, 0, "major"
1, 94080, Tempo, 594059
1, 94080, Marker_t, "Presto"
1, 96000, Marker_t, "Entered using Midiscan and Wincake"
1, 96000, Marker_t, ""
1, 96000, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Antonio Vivaldi"
2, 0, End_track
3, 0, Start_track
3, 0, MIDI_port, 0
3, 0, Title_t, " (""Il Prete Rosso"") 1678-1741            "
3, 0, Program_c, 0, 40
3, 0, Control_c, 0, 10, 40
3, 835, Control_c, 0, 65, 127
3, 839, Note_on_c, 0, 76, 115
3, 959, Note_on_c, 0, 76, 0
3, 960, Note_on_c, 0, 81, 127
3, 1078, Note_on_c, 0, 81, 0
3, 1082, Note_on_c, 0, 81, 116
3, 1199, Note_on_c, 0, 81, 0
3, 1200, Note_on_c, 0, 81, 122
3, 1318, Note_on_c, 0, 81, 0
3, 1322, Note_on_c, 0, 81, 120
3, 1440, Note_on_c, 0, 81, 0
3, 1441, Note_on_c, 0, 81, 123
3, 1560, Note_on_c, 0, 84, 118
3, 1563, Note_on_c, 0, 81, 0
3, 1618, Note_on_c, 0, 84, 0
3, 1619, Note_on_c, 0, 83, 123
3, 1680, Note_on_c, 0, 83, 0
3, 1682, Note_on_c, 0, 81, 122
3, 1798, Note_on_c, 0, 84, 121
3, 1803, Note_on_c, 0, 81, 0
3, 1858, Note_on_c, 0, 84, 0
3, 1858, Note_on_c, 0, 83, 116
3, 1921, Note_on_c, 0, 83, 0
3, 1922, Note_on_c, 0, 81, 127
3, 2040, Note_on_c, 0, 84, 121
3, 2044, Note_on_c, 0, 81, 0
3, 2099, Note_on_c, 0, 84, 0
3, 2099, Note_on_c, 0, 83, 119
3, 2158, Note_on_c, 0, 83, 0
3, 2161, Note_on_c, 0, 81, 117
3, 2279, Note_on_c, 0, 79, 115
3, 2282, Note_on_c, 0, 81, 0
3, 2337, Note_on_c, 0, 79, 0
3, 2342, Note_on_c, 0, 77, 115
3, 2400, Note_on_c, 0, 76, 122
3, 2404, Note_on_c, 0, 77, 0
3, 2518, Note_on_c, 0, 76, 0
3, 2519, Note_on_c, 0, 74, 116
3, 2578, Note_on_c, 0, 74, 0
3, 2581, Note_on_c, 0, 72, 116
3, 2639, Note_on_c, 0, 71, 123
3, 2641, Note_on_c, 0, 72, 0
3, 2756, Note_on_c, 0, 71, 0
3, 2760, Note_on_c, 0, 76, 119
3, 2877, Note_on_c, 0, 76, 0
3, 2880, Note_on_c, 0, 72, 124
3, 2998, Note_on_c, 0, 69, 115
3, 2999, Note_on_c, 0, 72, 0
3, 3116, Note_on_c, 0, 69, 0
3, 3118, Note_on_c, 0, 69, 115
3, 3237, Note_on_c, 0, 69, 0
3, 3240, Note_on_c, 0, 76, 118
3, 3359, Note_on_c, 0, 81, 123
3, 3360, Note_on_c, 0, 76, 0
3, 3477, Note_on_c, 0, 81, 0
3, 3478, Note_on_c, 0, 81, 120
3, 3596, Note_on_c, 0, 81, 0
3, 3602, Note_on_c, 0, 81, 120
3, 3720, Note_on_c, 0, 81, 0
3, 3721, Note_on_c, 0, 81, 120
3, 3837, Note_on_c, 0, 81, 0
3, 3839, Note_on_c, 0, 81, 124
3, 3901, Note_on_c, 0, 81, 0
3, 3902, Note_on_c, 0, 79, 120
3, 3958, Note_on_c, 0, 77, 119
3, 3963, Note_on_c, 0, 79, 0
3, 4017, Note_on_c, 0, 77, 0
3, 4021, Note_on_c, 0, 76, 118
3, 4078, Note_on_c, 0, 76, 0
3, 4081, Note_on_c, 0, 77, 115
3, 4199, Note_on_c, 0, 77, 0
3, 4200, Note_on_c, 0, 74, 120
3, 4318, Note_on_c, 0, 74, 0
3, 4319, Note_on_c, 0, 79, 126
3, 4436, Note_on_c, 0, 79, 0
3, 4440, Note_on_c, 0, 79, 122
3, 4557, Note_on_c, 0, 79, 0
3, 4562, Note_on_c, 0, 79, 119
3, 4681, Note_on_c, 0, 79, 0
3, 4682, Note_on_c, 0, 79, 117
3, 4799, Note_on_c, 0, 79, 0
3, 4801, Note_on_c, 0, 79, 127
3, 4859, Note_on_c, 0, 77, 121
3, 4863, Note_on_c, 0, 79, 0
3, 4921, Note_on_c, 0, 77, 0
3, 4921, Note_on_c, 0, 76, 123
3, 4978, Note_on_c, 0, 74, 123
3, 4981, Note_on_c, 0, 76, 0
3, 5038, Note_on_c, 0, 74, 0
3, 5040, Note_on_c, 0, 76, 119
3, 5157, Note_on_c, 0, 76, 0
3, 5162, Note_on_c, 0, 72, 116
3, 5281, Note_on_c, 0, 77, 123
3, 5284, Note_on_c, 0, 72, 0
3, 5397, Note_on_c, 0, 77, 0
3, 5399, Note_on_c, 0, 77, 117
3, 5517, Note_on_c, 0, 77, 0
3, 5518, Note_on_c, 0, 77, 122
3, 5636, Note_on_c, 0, 77, 0
3, 5642, Note_on_c, 0, 77, 116
3, 5756, Note_on_c, 0, 77, 0
3, 5758, Note_on_c, 0, 77, 127
3, 5818, Note_on_c, 0, 76, 122
3, 5821, Note_on_c, 0, 77, 0
3, 5878, Note_on_c, 0, 76, 0
3, 5880, Note_on_c, 0, 74, 123
3, 5940, Note_on_c, 0, 74, 0
3, 5940, Note_on_c, 0, 72, 123
3, 5998, Note_on_c, 0, 72, 0
3, 6001, Note_on_c, 0, 74, 120
3, 6119, Note_on_c, 0, 71, 118
3, 6121, Note_on_c, 0, 74, 0
3, 6240, Note_on_c, 0, 76, 121
3, 6241, Note_on_c, 0, 71, 0
3, 6357, Note_on_c, 0, 76, 0
3, 6361, Note_on_c, 0, 76, 117
3, 6479, Note_on_c, 0, 76, 0
3, 6482, Note_on_c, 0, 76, 122
3, 6596, Note_on_c, 0, 76, 0
3, 6598, Note_on_c, 0, 76, 115
3, 6715, Note_on_c, 0, 76, 0
3, 6719, Note_on_c, 0, 76, 126
3, 6777, Note_on_c, 0, 76, 0
3, 6782, Note_on_c, 0, 74, 115
3, 6840, Note_on_c, 0, 72, 121
3, 6843, Note_on_c, 0, 74, 0
3, 6898, Note_on_c, 0, 72, 0
3, 6899, Note_on_c, 0, 71, 115
3, 6960, Note_on_c, 0, 72, 115
3, 6962, Note_on_c, 0, 71, 0
